barrio,tipo_anomalia,year,month,water_table_depth_m,monthly_change_m,precip_mm,precip_adjusted_wt_change,water_table_zscore,wt_rising_anomaly,source
17-CAROLINAS ALTAS,fuga_silenciosa,2023,12,4.28,-0.095,28.0,0.241,0.31,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,1,4.31,-0.19,23.9,0.096,0.34,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,2,4.44,-0.098,16.8,0.103,0.49,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,3,3.99,-0.138,24.3,0.154,-0.01,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,4,4.22,-0.152,33.9,0.254,0.24,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,5,4.16,-0.016,33.2,0.382,0.18,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,6,4.47,-0.095,5.0,-0.036,0.52,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,7,4.51,-0.129,0.2,-0.127,0.57,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,8,4.75,-0.008,0.6,-0.001,0.83,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,9,4.12,-0.138,36.5,0.3,0.13,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,10,3.68,-0.228,53.4,0.413,-0.36,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,11,4.13,-0.104,34.3,0.307,0.14,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,12,4.26,-0.089,25.5,0.217,0.29,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,1,3.83,-0.295,18.7,-0.071,-0.19,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,2,3.95,-0.2,11.4,-0.063,-0.06,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,3,3.66,-0.311,22.0,-0.047,-0.38,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,4,3.55,-0.469,27.2,-0.142,-0.5,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,5,3.75,-0.388,24.0,-0.1,-0.28,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,6,4.12,0.027,5.1,0.089,0.13,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,7,3.87,-0.253,7.7,-0.16,-0.14,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,8,3.94,-0.05,3.1,-0.013,-0.07,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,9,3.56,-0.461,36.8,-0.02,-0.49,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,10,3.36,-0.65,45.4,-0.106,-0.71,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,11,3.57,-0.458,35.3,-0.034,-0.48,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2022,12,3.57,-0.498,26.4,-0.181,-0.48,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,1,3.81,-0.166,22.7,0.106,-0.21,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,2,3.71,-0.263,13.1,-0.106,-0.32,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,3,3.79,-0.236,16.1,-0.043,-0.23,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,4,3.65,-0.353,25.0,-0.053,-0.39,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,5,3.46,-0.434,32.1,-0.049,-0.6,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,6,4.09,-0.013,2.7,0.018,0.1,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,7,4.02,-0.098,13.1,0.06,0.02,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,8,3.89,-0.274,13.7,-0.11,-0.12,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,9,3.65,-0.505,30.7,-0.137,-0.39,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,10,3.44,-0.595,42.1,-0.089,-0.62,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,11,3.58,-0.416,36.1,0.017,-0.47,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2023,12,3.62,-0.427,31.6,-0.049,-0.42,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,1,3.66,-0.384,22.1,-0.119,-0.38,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,2,3.69,-0.356,19.6,-0.12,-0.34,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,3,3.67,-0.329,25.4,-0.024,-0.37,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,4,3.72,-0.384,26.8,-0.063,-0.31,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,5,3.52,-0.482,29.7,-0.126,-0.53,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,6,4.04,-0.025,10.2,0.097,0.04,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,7,3.91,-0.012,-4.6,-0.067,-0.1,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,8,3.87,-0.091,7.1,-0.005,-0.14,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,9,3.55,-0.517,33.6,-0.113,-0.5,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,10,3.34,-0.716,52.3,-0.089,-0.73,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,11,3.48,-0.608,32.2,-0.222,-0.58,0,IGME SINAS Masa 080.006 (synthetic)
18-CAROLINAS BAJAS,normal,2024,12,3.89,-0.205,26.2,0.11,-0.12,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,1,4.48,-0.33,18.6,-0.106,0.53,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,2,4.66,-0.265,17.2,-0.059,0.73,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,3,4.72,-0.221,19.7,0.015,0.8,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,4,4.53,-0.31,24.1,-0.021,0.59,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,5,4.66,-0.275,26.3,0.04,0.73,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,6,4.92,-0.027,6.2,0.047,1.02,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,7,4.73,-0.182,12.8,-0.028,0.81,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,8,4.75,-0.124,7.6,-0.033,0.83,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,9,4.31,-0.639,36.7,-0.2,0.34,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,10,4.12,-0.783,51.2,-0.168,0.13,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,11,4.32,-0.574,36.2,-0.14,0.36,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2022,12,4.58,-0.381,31.9,0.001,0.64,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,1,4.71,-0.181,18.3,0.039,0.79,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,2,4.46,-0.49,23.0,-0.214,0.51,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,3,4.59,-0.37,22.7,-0.098,0.66,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,4,4.42,-0.505,32.0,-0.121,0.47,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,5,4.42,-0.418,26.9,-0.095,0.47,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,6,5.06,0.116,-0.1,0.115,1.18,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,7,4.86,-0.025,7.9,0.07,0.96,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,8,4.66,-0.184,8.8,-0.079,0.73,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,9,4.35,-0.63,45.3,-0.087,0.39,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,10,4.07,-0.87,46.7,-0.31,0.08,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,11,4.38,-0.498,46.2,0.056,0.42,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2023,12,4.77,-0.297,25.1,0.004,0.86,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,1,4.55,-0.381,24.5,-0.087,0.61,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,2,4.81,-0.22,19.8,0.018,0.9,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,3,4.48,-0.392,21.5,-0.135,0.53,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,4,4.6,-0.315,23.4,-0.034,0.67,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,5,4.63,-0.277,20.3,-0.032,0.7,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,6,4.98,0.031,5.6,0.099,1.09,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,7,4.84,-0.17,2.2,-0.144,0.93,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,8,5.0,-0.002,-0.6,-0.01,1.11,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,9,4.33,-0.525,38.1,-0.068,0.37,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,10,4.23,-0.651,45.5,-0.104,0.26,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,11,4.24,-0.636,33.5,-0.234,0.27,0,IGME SINAS Masa 080.006 (synthetic)
19-GARBINET,normal,2024,12,4.59,-0.307,22.1,-0.042,0.66,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,1,4.13,-0.432,26.5,-0.114,0.14,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,2,4.14,-0.456,23.9,-0.169,0.16,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,3,4.2,-0.392,27.6,-0.061,0.22,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,4,4.36,-0.275,25.5,0.031,0.4,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,5,4.01,-0.54,34.3,-0.128,0.01,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,6,4.23,-0.278,13.1,-0.12,0.26,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,7,4.28,-0.249,7.0,-0.165,0.31,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,8,4.39,-0.189,12.8,-0.035,0.43,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,9,4.01,-0.57,42.7,-0.057,0.01,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,10,3.84,-0.825,52.5,-0.194,-0.18,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,11,4.2,-0.349,29.6,0.007,0.22,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2022,12,4.05,-0.416,27.3,-0.088,0.06,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,1,4.2,-0.414,20.6,-0.166,0.22,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,2,4.04,-0.513,21.4,-0.256,0.04,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,3,4.31,-0.294,19.0,-0.066,0.34,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,4,3.85,-0.621,30.9,-0.25,-0.17,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,5,4.24,-0.339,26.0,-0.027,0.27,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,6,4.46,-0.191,10.7,-0.063,0.51,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,7,4.4,-0.131,3.1,-0.093,0.44,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,8,4.51,-0.038,-1.3,-0.053,0.57,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,9,3.89,-0.674,40.1,-0.193,-0.12,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,10,3.94,-0.658,46.9,-0.095,-0.07,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,11,3.86,-0.72,41.0,-0.228,-0.16,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2023,12,4.01,-0.522,27.4,-0.194,0.01,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,1,4.45,-0.105,16.9,0.097,0.5,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,2,4.23,-0.34,16.3,-0.144,0.26,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,3,4.34,-0.256,18.3,-0.036,0.38,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,4,4.14,-0.424,35.1,-0.003,0.16,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,5,4.13,-0.372,22.3,-0.104,0.14,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,6,4.43,-0.136,6.5,-0.058,0.48,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,7,4.54,-0.004,7.1,0.081,0.6,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,8,4.51,-0.138,3.8,-0.092,0.57,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,9,3.88,-0.681,41.9,-0.178,-0.13,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,10,3.84,-0.688,47.8,-0.115,-0.18,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,11,3.99,-0.645,39.3,-0.173,-0.01,0,IGME SINAS Masa 080.006 (synthetic)
20-RABASA,normal,2024,12,4.35,-0.215,18.7,0.009,0.39,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,1,4.62,-0.326,24.2,-0.036,0.69,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,2,4.76,-0.197,14.4,-0.025,0.84,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,3,4.66,-0.37,23.9,-0.083,0.73,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,4,4.53,-0.469,33.1,-0.072,0.59,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,5,4.72,-0.21,18.0,0.007,0.8,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,6,4.85,-0.092,10.9,0.039,0.94,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,7,4.81,-0.08,0.1,-0.078,0.9,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,8,4.72,-0.206,8.8,-0.1,0.8,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,9,4.52,-0.502,37.8,-0.048,0.58,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,10,4.42,-0.579,47.7,-0.006,0.47,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,11,4.47,-0.565,37.3,-0.118,0.52,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2022,12,4.39,-0.482,22.9,-0.208,0.43,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,1,4.79,-0.149,14.6,0.026,0.88,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,2,4.81,-0.211,16.3,-0.015,0.9,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,3,4.59,-0.36,19.7,-0.124,0.66,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,4,4.42,-0.428,29.5,-0.074,0.47,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,5,4.45,-0.462,37.4,-0.014,0.5,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,6,4.79,-0.175,8.4,-0.074,0.88,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,7,5.07,0.061,5.1,0.121,1.19,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,8,4.71,-0.249,8.3,-0.149,0.79,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,9,4.46,-0.457,36.2,-0.023,0.51,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,10,4.26,-0.717,46.0,-0.165,0.29,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,11,4.3,-0.63,39.7,-0.154,0.33,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2023,12,4.61,-0.379,19.2,-0.149,0.68,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,1,4.38,-0.511,29.2,-0.16,0.42,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,2,4.7,-0.305,20.3,-0.061,0.78,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,3,4.77,-0.244,19.5,-0.01,0.86,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,4,4.59,-0.357,20.5,-0.111,0.66,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,5,4.61,-0.351,32.8,0.042,0.68,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,6,4.9,-0.091,10.3,0.033,1.0,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,7,4.97,0.024,6.2,0.098,1.08,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,8,4.86,-0.008,0.4,-0.004,0.96,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,9,4.37,-0.618,37.9,-0.164,0.41,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,10,4.45,-0.642,40.5,-0.156,0.5,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,11,4.53,-0.389,28.6,-0.046,0.59,0,IGME SINAS Masa 080.006 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,2024,12,4.41,-0.51,35.7,-0.082,0.46,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,1,4.47,-0.517,28.6,-0.173,0.52,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,2,4.59,-0.376,23.5,-0.094,0.66,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,3,4.63,-0.386,25.7,-0.078,0.7,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,4,4.51,-0.532,34.4,-0.12,0.57,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,5,4.6,-0.409,31.3,-0.033,0.67,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,6,4.84,-0.165,11.7,-0.024,0.93,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,7,4.91,-0.042,10.0,0.078,1.01,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,8,4.91,-0.065,5.5,0.0,1.01,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,9,4.58,-0.419,40.2,0.063,0.64,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,10,4.4,-0.579,43.8,-0.054,0.44,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,11,4.34,-0.68,38.1,-0.223,0.38,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2022,12,4.74,-0.249,26.7,0.071,0.82,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,1,4.83,-0.248,21.2,0.006,0.92,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,2,4.63,-0.36,24.8,-0.062,0.7,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,3,4.86,-0.117,13.3,0.042,0.96,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,4,4.75,-0.365,31.6,0.014,0.83,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,5,4.59,-0.494,34.1,-0.085,0.66,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,6,5.02,0.034,5.4,0.098,1.13,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,7,4.73,-0.292,9.7,-0.176,0.81,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,8,4.97,-0.061,7.7,0.031,1.08,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,9,4.48,-0.581,46.2,-0.027,0.53,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,10,4.31,-0.638,46.5,-0.081,0.34,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,11,4.45,-0.524,35.7,-0.096,0.5,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2023,12,4.52,-0.466,25.9,-0.155,0.58,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,1,4.53,-0.45,24.0,-0.162,0.59,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,2,4.83,-0.212,20.2,0.03,0.92,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,3,4.55,-0.465,30.7,-0.097,0.61,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,4,4.65,-0.37,16.2,-0.176,0.72,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,5,4.65,-0.438,26.2,-0.124,0.72,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,6,4.94,-0.134,5.0,-0.073,1.04,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,7,4.81,-0.209,16.5,-0.01,0.9,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,8,4.84,-0.218,15.6,-0.031,0.93,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,9,4.6,-0.407,30.9,-0.036,0.67,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,10,4.25,-0.764,44.3,-0.232,0.28,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,11,4.41,-0.666,35.6,-0.238,0.46,0,IGME SINAS Masa 080.006 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,2024,12,4.8,-0.209,23.7,0.075,0.89,0,IGME SINAS Masa 080.006 (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,1,4.31,-0.416,25.6,-0.109,0.34,0,IGME SINAS Masa 080.006 (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,2,4.53,-0.3,26.6,0.019,0.59,0,IGME SINAS Masa 080.006 (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,3,4.33,-0.509,24.0,-0.221,0.37,0,IGME SINAS Masa 080.006 (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,4,4.51,-0.399,25.3,-0.095,0.57,0,IGME SINAS Masa 080.006 (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,5,4.48,-0.342,23.4,-0.061,0.53,0,IGME SINAS Masa 080.006 (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,6,4.8,-0.036,5.3,0.028,0.89,0,IGME SINAS Masa 080.006 (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,2022,7,4.46,-0.33,6.8,-0.248,0.51,0,IGME SINAS Masa 080.006 (synthetic)
