barrio,tipo_anomalia,year,month,lst_mean_c,lst_coldspot_delta_c,lst_neighbor_delta_c,thermal_coldspot_zscore,thermal_neighbor_zscore,cloud_cover_pct,n_valid_pixels,thermal_leak_flag,source
14-ENSANCHE DIPUTACION,normal,2024,5,25.3,-1.15,0.57,0.05,0.57,24.6,171,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,6,32.8,0.09,0.52,1.18,0.52,7.5,240,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,7,39.3,-1.21,0.52,-0.01,0.52,33.6,127,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,8,37.8,-1.54,0.62,-0.31,0.62,32.2,246,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,9,31.5,-1.53,0.81,-0.3,0.81,26.6,171,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,10,25.8,-0.61,-0.64,0.54,-0.64,22.6,194,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,11,16.6,-1.02,-1.49,0.17,-1.49,26.0,170,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,12,14.2,-1.63,0.09,-0.39,0.09,21.2,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,1,14.3,-1.38,-0.43,-0.16,-0.43,5.2,212,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,2,14.2,-1.59,0.2,-0.35,0.2,23.3,143,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,3,17.9,-1.15,1.15,0.04,1.15,11.7,134,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,4,24.1,-1.87,-0.22,-0.61,-0.22,15.3,83,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,5,25.0,-1.31,-0.7,-0.1,-0.7,33.1,225,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,6,31.5,-1.64,-0.45,-0.4,-0.45,22.2,81,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,7,37.8,-0.37,1.87,0.75,1.87,31.5,132,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,8,39.4,-1.4,-0.12,-0.18,-0.12,15.3,98,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,9,30.9,-1.69,-0.54,-0.45,-0.54,25.4,238,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,10,23.8,-1.71,-1.11,-0.47,-1.11,7.4,102,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,11,18.5,-1.5,0.28,-0.27,0.28,23.5,95,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2022,12,16.7,-1.13,-0.03,0.06,-0.03,19.7,217,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,1,15.9,-0.93,-0.75,0.25,-0.75,25.0,114,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,2,14.8,-1.28,-0.78,-0.08,-0.78,9.4,193,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,3,16.2,-1.16,-0.75,0.03,-0.75,26.1,154,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,4,20.0,-1.01,-0.01,0.18,-0.01,24.0,200,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,5,26.3,-2.47,1.41,-1.15,1.41,25.7,204,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,6,32.1,-0.37,-0.18,0.76,-0.18,27.4,213,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,7,38.0,-2.68,0.12,-1.34,0.12,26.7,106,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,8,38.1,-1.7,0.38,-0.45,0.38,34.2,107,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,9,31.6,-0.38,0.69,0.75,0.69,15.5,198,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,10,24.5,-1.11,0.32,0.08,0.32,8.3,230,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,11,20.6,-1.28,0.02,-0.08,0.02,18.1,81,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2023,12,16.9,-2.12,-0.27,-0.84,-0.27,30.9,241,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,1,14.7,-0.54,0.63,0.6,0.63,26.9,82,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,2,15.4,-0.48,-0.13,0.65,-0.13,16.4,101,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,3,17.3,-1.55,0.61,-0.32,0.61,30.7,117,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,4,19.6,-1.27,-0.46,-0.06,-0.46,10.7,82,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,5,25.9,-0.82,-0.3,0.34,-0.3,27.5,116,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,6,30.8,-1.33,1.1,-0.12,1.1,6.4,178,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,7,38.3,-0.99,-0.05,0.19,-0.05,35.0,233,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,8,38.9,-0.86,0.81,0.31,0.81,29.6,182,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,9,30.0,-0.49,-0.16,0.65,-0.16,12.7,164,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,10,24.8,-1.99,-0.02,-0.72,-0.02,12.4,226,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,11,16.9,-0.98,0.69,0.2,0.69,24.6,160,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
16-PLA DEL BON REPOS,normal,2024,12,14.5,-0.11,0.41,0.99,0.41,13.1,137,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,1,14.4,-1.07,-0.4,0.12,-0.4,32.8,203,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,2,15.6,-1.39,1.14,-0.17,1.14,24.8,222,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,3,19.6,-0.76,0.77,0.4,0.77,16.9,158,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,4,20.5,-1.05,-1.29,0.14,-1.29,12.0,234,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,5,25.7,-1.12,-0.11,0.07,-0.11,28.7,174,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,6,33.1,-1.43,-0.8,-0.21,-0.8,13.6,214,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,7,37.5,-1.88,0.32,-0.62,0.32,32.6,121,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,8,38.2,-0.77,0.34,0.39,0.34,8.7,164,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,9,31.9,-1.97,0.18,-0.7,0.18,27.2,153,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,10,25.7,-0.95,-0.77,0.22,-0.77,5.7,168,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,11,19.1,-1.46,-0.06,-0.23,-0.06,30.5,203,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,12,15.6,-1.44,0.37,-0.21,0.37,33.9,189,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,1,12.8,-2.29,0.14,-0.99,0.14,8.6,101,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,2,18.2,-2.02,-0.22,-0.75,-0.22,22.0,132,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,3,18.4,-1.43,-0.24,-0.21,-0.24,20.4,110,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,4,22.5,-0.93,-0.7,0.24,-0.7,23.4,102,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,5,26.3,-1.23,-0.77,-0.03,-0.77,29.9,144,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,6,31.9,-1.99,-1.09,-0.72,-1.09,14.0,114,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,7,37.9,-1.01,-0.68,0.17,-0.68,22.7,230,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,8,37.8,-1.45,-0.98,-0.23,-0.98,19.2,107,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,9,32.5,-2.72,-0.96,-1.38,-0.96,26.1,168,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,10,24.0,-1.87,-1.77,-0.61,-1.77,31.8,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,11,16.5,-1.72,-1.4,-0.47,-1.4,30.8,237,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,12,16.0,-1.88,-1.6,-0.62,-1.6,19.8,135,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,1,13.1,-1.79,-1.48,-0.53,-1.48,18.5,240,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,2,14.5,-2.21,-0.84,-0.92,-0.84,10.2,219,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,3,18.8,-2.06,-1.02,-0.78,-1.02,27.4,238,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,4,22.1,-2.71,-1.7,-1.37,-1.7,5.9,125,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,5,26.6,-2.43,-1.62,-1.12,-1.62,14.6,232,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,6,33.0,-2.43,-1.28,-1.11,-1.28,16.0,87,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,7,38.7,-3.04,-1.15,-1.67,-1.15,8.9,239,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,8,37.5,-3.01,-1.44,-1.64,-1.44,5.1,124,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,9,32.6,-2.93,-1.23,-1.58,-1.23,19.1,241,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,10,25.3,-2.53,-1.27,-1.21,-1.27,9.5,109,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,11,21.0,-2.98,-2.11,-1.62,-2.11,8.9,219,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2024,12,15.6,-2.76,-2.01,-1.42,-2.01,21.6,128,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,1,15.3,-0.6,-1.23,0.55,-1.23,32.7,228,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,2,13.3,-1.38,-0.14,-0.17,-0.14,5.7,129,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,3,18.6,-0.47,-0.91,0.67,-0.91,6.5,236,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,4,22.1,-2.12,-1.18,-0.84,-1.18,29.1,200,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,5,27.3,-1.7,0.53,-0.46,0.53,26.6,123,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,6,31.7,-1.88,0.64,-0.62,0.64,22.0,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,7,41.4,-1.14,0.97,0.05,0.97,26.3,149,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,8,38.5,-0.7,-0.22,0.46,-0.22,11.4,141,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,9,30.8,-0.98,-0.56,0.2,-0.56,29.3,214,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,10,24.0,-0.88,0.38,0.29,0.38,19.3,99,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,11,17.0,-1.45,0.84,-0.23,0.84,13.4,247,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2022,12,16.4,-1.09,-0.77,0.1,-0.77,23.7,220,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,1,14.8,-1.04,0.74,0.14,0.74,16.6,155,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,2,17.1,-0.46,0.77,0.67,0.77,13.5,123,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,3,18.5,-0.72,-0.9,0.44,-0.9,12.1,210,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,4,20.7,-1.41,1.86,-0.19,1.86,29.3,212,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,5,26.6,-1.25,1.69,-0.04,1.69,7.3,164,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,6,34.0,-0.54,0.94,0.6,0.94,22.5,109,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,7,40.2,-1.83,-0.19,-0.58,-0.19,8.5,82,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,8,38.4,-1.58,-0.03,-0.35,-0.03,20.0,154,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,9,29.7,-1.35,-1.4,-0.14,-1.4,12.9,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,10,22.7,-0.16,0.55,0.94,0.55,25.0,134,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,11,18.0,-0.88,-1.06,0.29,-1.06,22.5,150,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2023,12,13.9,-1.28,-0.06,-0.08,-0.06,10.0,90,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,1,15.5,-1.41,0.92,-0.19,0.92,7.7,225,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,2,14.4,-0.68,-1.01,0.47,-1.01,7.2,188,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,3,17.4,-1.97,-0.59,-0.7,-0.59,21.9,99,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,4,20.8,-1.06,-1.19,0.13,-1.19,28.9,100,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,5,25.8,-1.39,-0.25,-0.17,-0.25,8.6,153,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,6,33.8,-0.99,-0.36,0.19,-0.36,18.4,133,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,7,40.1,-0.78,1.04,0.38,1.04,29.5,215,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,8,40.6,-1.68,-0.69,-0.43,-0.69,18.5,136,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,9,32.9,-1.62,-0.89,-0.38,-0.89,24.0,149,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,10,26.8,-0.57,-1.22,0.58,-1.22,34.8,220,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,11,17.2,-1.08,-0.56,0.11,-0.56,15.7,84,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
18-CAROLINAS BAJAS,normal,2024,12,15.0,-1.04,0.08,0.15,0.08,30.6,150,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,1,15.0,-0.68,-0.63,0.47,-0.63,17.0,181,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,2,15.6,-1.15,-0.59,0.05,-0.59,32.1,185,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,3,16.7,-1.76,0.49,-0.51,0.49,33.1,241,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,4,21.6,-1.38,0.1,-0.16,0.1,11.7,82,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,5,25.9,-1.31,-1.53,-0.1,-1.53,17.8,142,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,6,30.9,0.33,0.03,1.39,0.03,19.7,181,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,7,39.3,-1.23,-1.74,-0.03,-1.74,30.4,214,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,8,37.2,-0.76,-0.68,0.4,-0.68,21.8,108,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,9,32.1,-0.99,0.95,0.19,0.95,31.1,185,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,10,23.6,-1.54,-0.42,-0.31,-0.42,16.3,175,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,11,17.5,-0.65,-1.32,0.5,-1.32,24.0,101,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2022,12,16.0,-0.75,-0.18,0.41,-0.18,15.5,223,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,1,15.5,-1.81,0.87,-0.56,0.87,12.8,232,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,2,13.5,-1.34,-0.77,-0.12,-0.77,12.5,112,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,3,18.6,-1.02,-0.19,0.17,-0.19,26.4,201,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,4,18.7,-1.19,-0.77,0.0,-0.77,9.2,238,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,5,27.2,-0.8,-0.17,0.36,-0.17,8.9,104,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,6,32.7,-1.07,1.22,0.12,1.22,22.3,160,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,7,40.2,-1.05,-1.95,0.14,-1.95,27.3,218,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,8,38.0,-1.69,-0.57,-0.45,-0.57,15.6,227,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,9,29.8,-0.26,0.58,0.86,0.58,21.1,158,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,10,25.2,-0.68,-1.09,0.47,-1.09,16.0,188,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,11,17.5,-0.71,1.06,0.45,1.06,16.6,160,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2023,12,16.2,-2.19,0.23,-0.9,0.23,11.0,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,1,13.6,-1.34,0.23,-0.13,0.23,12.2,105,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,2,17.0,-1.31,-0.82,-0.1,-0.82,6.3,182,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,3,17.6,-0.7,0.39,0.45,0.39,8.4,157,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,4,23.4,-1.15,0.57,0.05,0.57,7.3,200,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,5,28.0,-1.59,-0.16,-0.35,-0.16,21.2,103,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,6,31.4,-1.09,0.08,0.1,0.08,20.6,166,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,7,40.3,-1.78,0.78,-0.53,0.78,31.2,226,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,8,37.1,-2.24,0.19,-0.95,0.19,9.1,142,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,9,30.5,-0.87,0.81,0.3,0.81,8.9,189,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,10,23.9,-1.51,0.57,-0.28,0.57,16.1,152,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,11,17.7,-0.58,0.01,0.56,0.01,29.5,114,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
19-GARBINET,normal,2024,12,15.7,-2.07,-0.07,-0.79,-0.07,14.0,167,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,1,13.6,-1.32,0.33,-0.11,0.33,7.6,211,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,2,15.8,-1.58,-1.16,-0.35,-1.16,14.3,89,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,3,19.0,-1.29,0.26,-0.08,0.26,16.7,85,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,4,19.7,-0.62,-0.66,0.53,-0.66,24.8,213,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,5,24.7,-1.38,0.77,-0.17,0.77,9.9,189,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,6,31.4,-0.49,-1.4,0.65,-1.4,28.7,129,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,7,42.1,-1.25,-1.53,-0.04,-1.53,11.2,196,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,8,38.6,-0.92,0.91,0.26,0.91,12.1,201,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,9,32.6,-0.87,-0.12,0.3,-0.12,29.9,249,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,10,23.9,-1.55,-0.51,-0.32,-0.51,22.4,146,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,11,17.4,-1.19,0.34,0.01,0.34,34.2,224,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2022,12,13.9,-2.08,-1.11,-0.8,-1.11,33.2,121,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,1,13.8,-1.94,-0.83,-0.67,-0.83,21.2,237,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,2,17.5,-1.45,-0.47,-0.23,-0.47,23.1,107,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,3,18.2,-0.61,-1.86,0.54,-1.86,15.1,171,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,4,21.2,-0.03,-0.39,1.06,-0.39,13.5,154,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
20-RABASA,normal,2023,5,25.8,-1.41,1.42,-0.19,1.42,9.3,207,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
